timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
276400;26875.0;5194.0;21681.0
276500;26931.0;5490.0;21441.0
276600;27171.0;5490.0;21681.0
276700;26986.5;5545.5;21441.0
276800;27014.0;5453.0;21561.0
276900;27171.0;5490.0;21681.0
277000;27128.0;5527.0;21601.0
277100;26666.5;5545.5;21121.0
277200;27248.0;5527.0;21721.0
277300;27168.0;5527.0;21641.0
277400;27048.0;5527.0;21521.0
277500;27168.0;5527.0;21641.0
277600;27112.5;5471.5;21641.0
277700;27168.0;5527.0;21641.0
277800;27149.5;5508.5;21641.0
277900;27463.5;5582.5;21881.0
278000;27325.0;5564.0;21761.0
278100;26949.0;5268.0;21681.0
278200;27303.5;5582.5;21721.0
278300;27322.0;5601.0;21721.0
278400;27285.0;5564.0;21721.0
278500;27322.0;5601.0;21721.0
278600;27359.0;5638.0;21721.0
278700;27488.5;5767.5;21721.0
278800;26952.0;5231.0;21721.0
278900;27479.0;5638.0;21841.0
279000;27399.0;5638.0;21761.0
279100;27510.0;5749.0;21761.0
279200;27574.5;5693.5;21881.0
279300;27439.0;5638.0;21801.0
279400;27439.0;5638.0;21801.0
279500;27596.0;5675.0;21921.0
279600;27476.0;5675.0;21801.0
279700;27439.0;5638.0;21801.0
279800;27796.0;5675.0;22121.0
279900;27460.5;5619.5;21841.0
280000;27820.5;5619.5;22201.0
280100;27596.0;5675.0;21921.0
280200;27519.0;5638.0;21881.0
280300;27519.0;5638.0;21881.0
280400;27519.0;5638.0;21881.0
280500;27454.5;5693.5;21761.0
280600;27574.5;5693.5;21881.0
280700;28255.0;5934.0;22321.0
280800;27343.0;5342.0;22001.0
280900;27559.0;5638.0;21921.0
281000;27559.0;5638.0;21921.0
281100;27559.0;5638.0;21921.0
281200;27620.0;5659.0;21961.0
281300;27528.0;5687.0;21841.0
281400;27618.0;5657.0;21961.0
281500;28298.0;5657.0;22641.0
281600;27653.0;5692.0;21961.0
281700;27653.0;5692.0;21961.0
281800;27338.0;5377.0;21961.0
281900;27658.0;5657.0;22001.0
282000;27483.0;5482.0;22001.0
282100;27843.0;5762.0;22081.0
282200;27698.0;5657.0;22041.0
282300;27645.5;5604.5;22041.0
282400;27645.5;5604.5;22041.0
282500;27540.5;5499.5;22041.0
282600;27646.5;5725.5;21921.0
282700;27705.0;5664.0;22041.0
282800;27265.0;5664.0;21601.0
282900;27745.0;5664.0;22081.0
283000;27806.5;5725.5;22081.0
283100;27724.5;5643.5;22081.0
283200;27744.0;5623.0;22121.0
283300;28007.5;5766.5;22241.0
283400;27304.0;5623.0;21681.0
283500;27823.0;5582.0;22241.0
283600;27744.0;5623.0;22121.0
283700;27744.0;5623.0;22121.0
283800;27805.5;5684.5;22121.0
283900;27743.0;5582.0;22161.0
284000;27784.0;5623.0;22161.0
284100;27704.0;5623.0;22081.0
284200;27824.0;5623.0;22201.0
284300;27704.0;5623.0;22081.0
284400;27824.0;5623.0;22201.0
284500;27824.0;5623.0;22201.0
284600;27824.0;5623.0;22201.0
284700;27903.0;5582.0;22321.0
284800;27744.0;5623.0;22121.0
284900;27823.0;5582.0;22241.0
285000;27823.0;5582.0;22241.0
285100;27864.0;5623.0;22241.0
285200;27784.0;5623.0;22161.0
285300;27965.5;5684.5;22281.0
