timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-75.0;0.0;-75.0
100;-114.0;0.0;-114.0
200;-85.5;0.0;-85.5
300;0.0;0.0;0.0
400;-210.0;0.0;-210.0
500;-228.0;0.0;-228.0
600;-327.0;0.0;-327.0
700;-444.0;0.0;-444.0
800;-612.0;0.0;-612.0
900;-492.0;0.0;-492.0
1000;-492.0;0.0;-492.0
1100;-972.0;0.0;-972.0
1200;-492.0;0.0;-492.0
1300;-332.0;0.0;-332.0
1400;-572.0;0.0;-572.0
1500;-492.0;0.0;-492.0
1600;-332.0;0.0;-332.0
1700;-892.0;0.0;-892.0
1800;-412.0;0.0;-412.0
1900;-412.0;0.0;-412.0
2000;-412.0;0.0;-412.0
2100;-892.0;0.0;-892.0
2200;-412.0;0.0;-412.0
2300;-412.0;0.0;-412.0
2400;-412.0;0.0;-412.0
2500;-892.0;0.0;-892.0
2600;-332.0;0.0;-332.0
2700;-332.0;0.0;-332.0
2800;-367.0;85.0;-452.0
2900;-262.0;70.0;-332.0
3000;-652.0;80.0;-732.0
3100;253.0;105.0;148.0
3200;-142.0;70.0;-212.0
3300;218.0;70.0;148.0
3400;-272.0;60.0;-332.0
3500;-177.0;115.0;-292.0
3600;-182.0;70.0;-252.0
3700;-182.0;70.0;-252.0
3800;-257.0;115.0;-372.0
3900;-182.0;70.0;-252.0
4000;-172.0;80.0;-252.0
4100;298.0;70.0;228.0
4200;-402.0;-30.0;-372.0
4300;-187.0;65.0;-252.0
4400;-187.0;65.0;-252.0
4500;-132.0;80.0;-212.0
4600;-107.0;65.0;-172.0
4700;-142.0;70.0;-212.0
4800;-502.0;70.0;-572.0
4900;-82.0;90.0;-172.0
5000;-92.0;80.0;-172.0
5100;-92.0;80.0;-172.0
5200;-55.0;117.0;-172.0
5300;-48.5;123.5;-172.0
5400;-2.0;130.0;-132.0
5500;65.0;117.0;-52.0
5600;-101.5;110.5;-212.0
5700;38.0;130.0;-92.0
5800;12.0;104.0;-92.0
5900;12.0;104.0;-92.0
6000;-108.0;104.0;-212.0
6100;-77.0;15.0;-92.0
6200;-35.0;57.0;-92.0
6300;28.0;120.0;-92.0
6400;11.0;183.0;-172.0
6500;78.5;130.5;-52.0
6600;209.0;141.0;68.0
6700;-351.0;141.0;-492.0
6800;129.0;141.0;-12.0
6900;129.0;141.0;-12.0
7000;97.5;109.5;-12.0
7100;97.5;109.5;-12.0
7200;150.0;162.0;-12.0
7300;129.0;141.0;-12.0
7400;150.0;162.0;-12.0
7500;-324.0;168.0;-492.0
7600;251.0;183.0;68.0
7700;266.0;198.0;68.0
7800;251.0;183.0;68.0
7900;243.5;175.5;68.0
8000;116.0;168.0;-52.0
8100;236.0;168.0;68.0
8200;290.0;222.0;68.0
8300;258.0;190.0;68.0
8400;258.0;190.0;68.0
8500;-102.0;190.0;-292.0
8600;346.0;198.0;148.0
8700;218.0;190.0;28.0
8800;334.0;186.0;148.0
8900;218.0;190.0;28.0
9000;536.0;268.0;268.0
9100;416.0;268.0;148.0
9200;432.0;284.0;148.0
9300;416.0;268.0;148.0
9400;536.0;268.0;268.0
9500;462.0;274.0;188.0
9600;574.0;266.0;308.0
9700;494.0;266.0;228.0
9800;496.0;268.0;228.0
9900;-226.0;266.0;-492.0
10000;493.0;265.0;228.0
10100;496.0;268.0;228.0
10200;496.0;268.0;228.0
10300;496.0;268.0;228.0
10400;497.0;269.0;228.0
10500;136.0;268.0;-132.0
10600;574.0;266.0;308.0
10700;534.0;266.0;268.0
10800;578.0;270.0;308.0
10900;578.0;270.0;308.0
11000;456.0;268.0;188.0
11100;573.0;265.0;308.0
11200;694.0;266.0;428.0
11300;574.0;266.0;308.0
11400;572.0;264.0;308.0
11500;614.0;266.0;348.0
11600;732.0;264.0;468.0
11700;1134.0;266.0;868.0
11800;-94.0;238.0;-332.0
11900;666.0;278.0;388.0
12000;666.0;278.0;388.0
12100;794.0;286.0;508.0
12200;722.0;214.0;508.0
12300;646.0;258.0;388.0
12400;674.0;286.0;388.0
12500;770.0;342.0;428.0
12600;746.0;278.0;468.0
12700;80722.0;80254.0;468.0
12800;746.0;278.0;468.0
12900;738.0;270.0;468.0
13000;640.0;292.0;348.0
13100;760.0;292.0;468.0
13200;324.0;336.0;-12.0
13300;768.0;300.0;468.0
13400;759.0;291.0;468.0
13500;808.0;300.0;508.0
13600;728.0;300.0;428.0
13700;968.0;300.0;668.0
13800;848.0;300.0;548.0
13900;731.0;303.0;428.0
14000;833.0;285.0;548.0
14100;842.0;294.0;548.0
14200;962.0;294.0;668.0
14300;842.0;294.0;548.0
14400;839.0;291.0;548.0
14500;867.0;279.0;588.0
14600;1431.0;323.0;1108.0
14700;1064.0;356.0;708.0
14800;1420.0;312.0;1108.0
14900;972.0;344.0;628.0
15000;924.0;296.0;628.0
15100;940.0;312.0;628.0
15200;1060.0;312.0;748.0
15300;916.0;168.0;748.0
15400;564.0;296.0;268.0
15500;900.0;312.0;588.0
15600;996.0;288.0;708.0
15700;1004.0;296.0;708.0
15800;1156.0;328.0;828.0
15900;1004.0;296.0;708.0
16000;892.0;184.0;708.0
16100;1004.0;296.0;708.0
16200;1156.0;328.0;828.0
16300;1020.0;312.0;708.0
16400;1020.0;312.0;708.0
16500;1060.0;312.0;748.0
16600;1102.0;314.0;788.0
16700;368.0;300.0;68.0
16800;1067.0;279.0;788.0
16900;1060.0;272.0;788.0
17000;954.0;286.0;668.0
17100;968.0;300.0;668.0
17200;1089.0;301.0;788.0
17300;1209.0;301.0;908.0
17400;1209.0;301.0;908.0
17500;1115.5;287.5;828.0
17600;1169.0;301.0;868.0
17700;1577.0;229.0;1348.0
17800;1320.5;332.5;988.0
17900;1160.0;292.0;868.0
18000;1182.5;314.5;868.0
18100;1169.0;301.0;868.0
18200;1658.0;310.0;1348.0
18300;1178.0;310.0;868.0
18400;1209.0;301.0;908.0
18500;1129.0;301.0;828.0
18600;1338.0;310.0;1028.0
18700;1300.0;352.0;948.0
18800;1395.0;327.0;1068.0
18900;795.0;327.0;468.0
19000;1275.0;327.0;948.0
19100;1160.0;332.0;828.0
19200;1277.5;329.5;948.0
19300;1217.0;269.0;948.0
19400;1285.0;337.0;948.0
19500;1398.0;490.0;908.0
19600;1356.5;328.5;1028.0
19700;1279.0;371.0;908.0
19800;1322.5;294.5;1028.0
19900;1339.5;311.5;1028.0
20000;1390.5;362.5;1028.0
20100;1365.0;337.0;1028.0
20200;1365.0;337.0;1028.0
20300;1862.0;354.0;1508.0
20400;876.5;328.5;548.0
20500;1422.0;354.0;1068.0
20600;1445.0;337.0;1108.0
20700;1542.0;354.0;1188.0
20800;1342.0;354.0;988.0
20900;1462.0;354.0;1108.0
21000;1302.0;354.0;948.0
21100;1462.0;354.0;1108.0
21200;1582.0;474.0;1108.0
21300;982.0;354.0;628.0
21400;1469.5;361.5;1108.0
21500;1544.0;396.0;1148.0
21600;1605.0;417.0;1188.0
21700;1832.0;564.0;1268.0
21800;1626.0;438.0;1188.0
21900;1605.0;417.0;1188.0
22000;1605.0;417.0;1188.0
22100;1350.0;282.0;1068.0
22200;1625.0;437.0;1188.0
22300;1563.0;375.0;1188.0
22400;1656.0;468.0;1188.0
22500;1665.0;437.0;1228.0
22600;1705.0;437.0;1268.0
22700;1785.0;437.0;1348.0
22800;1271.5;483.5;788.0
22900;1825.0;437.0;1388.0
