timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
268100;26489.0;5608.0;20881.0
268200;27169.0;6168.0;21001.0
268300;26389.0;5468.0;20921.0
268400;27259.0;5898.0;21361.0
268500;26489.0;5568.0;20921.0
268600;26489.0;5568.0;20921.0
268700;26129.0;5568.0;20561.0
268800;26489.0;5568.0;20921.0
268900;26529.0;5568.0;20961.0
269000;26419.0;5538.0;20881.0
269100;26589.0;5628.0;20961.0
269200;26449.0;5448.0;21001.0
269300;26629.0;5628.0;21001.0
269400;26689.0;5688.0;21001.0
269500;26645.0;5644.0;21001.0
269600;26858.0;5737.0;21121.0
269700;26889.0;5768.0;21121.0
269800;26645.0;5644.0;21001.0
269900;26827.0;5706.0;21121.0
270000;26654.0;5613.0;21041.0
270100;26667.0;5706.0;20961.0
270200;26725.0;5644.0;21081.0
270300;26818.0;5737.0;21081.0
270400;26725.0;5644.0;21081.0
270500;26725.0;5644.0;21081.0
270600;26725.0;5644.0;21081.0
270700;26605.0;5644.0;20961.0
270800;26614.0;5613.0;21001.0
270900;26517.0;5396.0;21121.0
271000;26623.0;5582.0;21041.0
271100;26783.0;5582.0;21201.0
271200;26805.0;5644.0;21161.0
271300;26712.0;5551.0;21161.0
271400;26685.0;5644.0;21041.0
271500;26623.0;5582.0;21041.0
271600;27305.0;6264.0;21041.0
271700;26743.0;5582.0;21161.0
271800;27183.0;5582.0;21601.0
271900;26783.0;5582.0;21201.0
272000;26845.0;5644.0;21201.0
272100;26721.0;5520.0;21201.0
272200;26823.0;5582.0;21241.0
272300;25967.0;5086.0;20881.0
272400;26492.0;5251.0;21241.0
272500;27157.0;5596.0;21561.0
272600;26837.0;5596.0;21241.0
272700;26837.0;5596.0;21241.0
272800;26837.0;5596.0;21241.0
272900;26773.5;5492.5;21281.0
273000;26957.0;5596.0;21361.0
273100;26888.0;5527.0;21361.0
273200;26365.0;5044.0;21321.0
273300;27284.0;5963.0;21321.0
273400;27884.0;6123.0;21761.0
273500;26188.0;5547.0;20641.0
273600;27124.0;5803.0;21321.0
273700;26932.0;5611.0;21321.0
273800;27436.0;5675.0;21761.0
273900;27580.0;5739.0;21841.0
274000;26972.0;5611.0;21361.0
274100;27084.0;5803.0;21281.0
274200;26948.0;5547.0;21401.0
274300;27052.0;5651.0;21401.0
274400;26873.0;5592.0;21281.0
274500;26934.0;5533.0;21401.0
274600;26993.0;5592.0;21401.0
274700;26993.0;5592.0;21401.0
274800;26934.0;5533.0;21401.0
274900;26393.0;5592.0;20801.0
275000;27033.0;5592.0;21441.0
275100;27513.0;5592.0;21921.0
275200;27073.0;5592.0;21481.0
275300;27073.0;5592.0;21481.0
275400;27134.0;5533.0;21601.0
275500;26721.5;5680.5;21041.0
275600;27193.0;5592.0;21601.0
275700;27222.5;5621.5;21601.0
275800;27073.0;5592.0;21481.0
275900;27113.0;5592.0;21521.0
276000;27113.0;5592.0;21521.0
276100;27193.0;5592.0;21601.0
276200;26976.0;5415.0;21561.0
276300;26654.0;5533.0;21121.0
276400;26801.0;5120.0;21681.0
276500;27033.0;5592.0;21441.0
276600;27273.0;5592.0;21681.0
276700;27121.5;5680.5;21441.0
276800;27094.0;5533.0;21561.0
276900;27273.0;5592.0;21681.0
277000;27252.0;5651.0;21601.0
277100;26801.5;5680.5;21121.0
277200;27372.0;5651.0;21721.0
277300;27292.0;5651.0;21641.0
277400;27172.0;5651.0;21521.0
277500;27292.0;5651.0;21641.0
277600;27203.5;5562.5;21641.0
277700;27292.0;5651.0;21641.0
277800;27262.5;5621.5;21641.0
277900;27620.5;5739.5;21881.0
278000;27471.0;5710.0;21761.0
278100;26919.0;5238.0;21681.0
278200;27460.5;5739.5;21721.0
278300;27490.0;5769.0;21721.0
278400;27431.0;5710.0;21721.0
278500;27490.0;5769.0;21721.0
278600;27549.0;5828.0;21721.0
278700;27742.0;6021.0;21721.0
278800;26930.0;5209.0;21721.0
278900;27666.0;5825.0;21841.0
279000;27586.0;5825.0;21761.0
279100;27754.0;5993.0;21761.0
279200;27790.0;5909.0;21881.0
279300;27626.0;5825.0;21801.0
279400;27626.0;5825.0;21801.0
279500;27802.0;5881.0;21921.0
279600;27682.0;5881.0;21801.0
279700;27626.0;5825.0;21801.0
279800;28002.0;5881.0;22121.0
279900;27638.0;5797.0;21841.0
280000;27998.0;5797.0;22201.0
280100;27802.0;5881.0;21921.0
280200;27706.0;5825.0;21881.0
280300;27706.0;5825.0;21881.0
280400;27706.0;5825.0;21881.0
280500;27670.0;5909.0;21761.0
280600;27790.0;5909.0;21881.0
280700;28594.0;6273.0;22321.0
280800;27378.0;5377.0;22001.0
280900;27746.0;5825.0;21921.0
281000;27746.0;5825.0;21921.0
281100;27746.0;5825.0;21921.0
281200;27807.0;5846.0;21961.0
281300;27715.0;5874.0;21841.0
281400;27786.0;5825.0;21961.0
281500;28466.0;5825.0;22641.0
281600;27821.0;5860.0;21961.0
281700;27821.0;5860.0;21961.0
281800;27335.0;5374.0;21961.0
281900;27807.0;5806.0;22001.0
282000;27510.0;5509.0;22001.0
282100;28094.0;6013.0;22081.0
282200;27865.0;5824.0;22041.0
282300;27770.5;5729.5;22041.0
282400;27770.5;5729.5;22041.0
282500;27550.0;5509.0;22041.0
282600;27841.0;5920.0;21921.0
282700;27844.0;5803.0;22041.0
282800;27404.0;5803.0;21601.0
282900;27884.0;5803.0;22081.0
283000;28001.0;5920.0;22081.0
283100;27845.0;5764.0;22081.0
283200;27846.0;5725.0;22121.0
283300;28239.0;5998.0;22241.0
283400;27406.0;5725.0;21681.0
283500;27888.0;5647.0;22241.0
283600;27846.0;5725.0;22121.0
283700;27846.0;5725.0;22121.0
283800;27963.0;5842.0;22121.0
283900;27808.0;5647.0;22161.0
284000;27886.0;5725.0;22161.0
284100;27806.0;5725.0;22081.0
284200;27926.0;5725.0;22201.0
284300;27806.0;5725.0;22081.0
284400;27926.0;5725.0;22201.0
284500;27926.0;5725.0;22201.0
284600;27926.0;5725.0;22201.0
284700;27968.0;5647.0;22321.0
284800;27846.0;5725.0;22121.0
284900;27888.0;5647.0;22241.0
285000;27888.0;5647.0;22241.0
285100;27966.0;5725.0;22241.0
285200;27886.0;5725.0;22161.0
285300;28123.0;5842.0;22281.0
285400;28008.0;5727.0;22281.0
285500;28076.0;5795.0;22281.0
285600;27848.0;5727.0;22121.0
285700;27682.0;5761.0;21921.0
285800;28212.0;5931.0;22281.0
285900;28082.0;5761.0;22321.0
286000;28184.0;5863.0;22321.0
286100;28104.0;5863.0;22241.0
286200;28224.0;5863.0;22361.0
286300;28224.0;5863.0;22361.0
286400;27748.0;5387.0;22361.0
286500;28138.0;5897.0;22241.0
286600;28224.0;5863.0;22361.0
286700;28224.0;5863.0;22361.0
286800;28310.0;5829.0;22481.0
286900;28230.0;5829.0;22401.0
287000;28434.0;6033.0;22401.0
287100;28332.0;5931.0;22401.0
287200;28452.0;5931.0;22521.0
287300;28440.0;5999.0;22441.0
287400;27828.0;5387.0;22441.0
287500;28372.0;5931.0;22441.0
287600;28252.0;5931.0;22321.0
287700;28474.0;6033.0;22441.0
287800;28304.0;5863.0;22441.0
287900;28332.0;5931.0;22401.0
288000;28514.0;6033.0;22481.0
288100;28412.0;5931.0;22481.0
288200;28520.0;5999.0;22521.0
288300;28381.0;5980.0;22401.0
288400;28501.0;5980.0;22521.0
288500;28501.0;5980.0;22521.0
288600;28538.5;6017.5;22521.0
288700;28426.0;5905.0;22521.0
288800;29026.0;6505.0;22521.0
288900;28541.0;5980.0;22561.0
289000;28826.0;5905.0;22921.0
289100;27716.0;5155.0;22561.0
289200;28386.0;5905.0;22481.0
289300;28506.0;5905.0;22601.0
289400;28108.0;5947.0;22161.0
289500;28375.5;5774.5;22601.0
289600;28177.0;6016.0;22161.0
