timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
287100;27390.0;4980.0;22410.0
287200;27867.0;5417.0;22450.0
287300;27810.0;5360.0;22450.0
287400;27728.0;5398.0;22330.0
287500;27690.0;5360.0;22330.0
287600;27690.0;5360.0;22330.0
287700;27772.0;5322.0;22450.0
287800;27989.0;5379.0;22610.0
287900;27812.0;5322.0;22490.0
288000;27692.0;5322.0;22370.0
288100;27932.0;5322.0;22610.0
288200;27890.0;5360.0;22530.0
288300;27814.0;5284.0;22530.0
288400;27852.0;5322.0;22530.0
288500;27852.0;5322.0;22530.0
288600;27890.0;5360.0;22530.0
288700;27732.0;5322.0;22410.0
288800;28156.0;5626.0;22530.0
288900;27892.0;5322.0;22570.0
289000;27974.0;5284.0;22690.0
289100;27816.0;5246.0;22570.0
289200;27894.0;5284.0;22610.0
289300;27995.0;5265.0;22730.0
289400;28008.0;5398.0;22610.0
289500;28256.0;5246.0;23010.0
289600;28033.5;5423.5;22610.0
289700;27671.0;5061.0;22610.0
289800;27797.5;5307.5;22490.0
289900;27928.5;5278.5;22650.0
290000;27943.0;5293.0;22650.0
290100;28561.0;5351.0;23210.0
290200;28012.0;5322.0;22690.0
290300;28511.0;5061.0;23450.0
290400;27983.0;5293.0;22690.0
290500;28190.0;5380.0;22810.0
290600;27983.0;5293.0;22690.0
290700;27983.0;5293.0;22690.0
290800;28066.5;5336.5;22730.0
290900;28186.5;5336.5;22850.0
291000;27903.0;5293.0;22610.0
291100;28023.0;5293.0;22730.0
291200;28034.0;5264.0;22770.0
291300;28019.5;5249.5;22770.0
291400;28034.0;5264.0;22770.0
291500;28034.0;5264.0;22770.0
291600;28092.0;5322.0;22770.0
291700;28092.0;5322.0;22770.0
291800;28353.5;5423.5;22930.0
291900;27954.0;5264.0;22690.0
292000;28119.0;5309.0;22810.0
292100;28209.0;5399.0;22810.0
292200;28213.0;5363.0;22850.0
292300;28213.0;5363.0;22850.0
292400;28631.0;5381.0;23250.0
292500;28213.0;5363.0;22850.0
292600;28177.0;5327.0;22850.0
292700;28177.0;5327.0;22850.0
292800;28537.0;5687.0;22850.0
292900;28337.0;5327.0;23010.0
293000;28217.0;5327.0;22890.0
293100;27621.0;5291.0;22330.0
293200;28377.0;5327.0;23050.0
293300;28293.0;5363.0;22930.0
293400;28413.0;5363.0;23050.0
293500;28293.0;5363.0;22930.0
293600;28173.0;5363.0;22810.0
293700;28153.0;5343.0;22810.0
293800;28481.0;5391.0;23090.0
293900;28465.0;5375.0;23090.0
294000;28241.0;5391.0;22850.0
294100;28121.0;5391.0;22730.0
294200;28401.0;5391.0;23010.0
294300;28401.0;5391.0;23010.0
294400;28449.0;5439.0;23010.0
294500;28417.0;5407.0;23010.0
294600;28369.0;5359.0;23010.0
294700;28249.0;5359.0;22890.0
294800;28113.0;5103.0;23010.0
294900;28377.0;5327.0;23050.0
295000;27785.0;5295.0;22490.0
295100;28345.0;5295.0;23050.0
295200;28449.0;5359.0;23090.0
